"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0.24
"14",13,0
"15",14,0
"16",15,0
"17",16,0
"18",17,0
"19",18,0.48
"20",19,0
"21",20,1.02
"22",21,0
"23",22,0.46
"24",23,0.22
"25",24,0.82
"26",25,1.14
"27",26,1.24
"28",27,1.54
"29",28,2.04
"30",29,1.84
"31",30,2.9
"32",31,1.2
"33",32,4.44
"34",33,4.26
"35",34,3.86
"36",35,7.02
"37",36,6.54
"38",37,8.54
"39",38,7.12
"40",39,8.82
"41",40,9.8
"42",41,12.64
"43",42,13.1
"44",43,14.04
"45",44,20.36
"46",45,22.1
"47",46,24.24
"48",47,24.66
"49",48,25.54
"50",49,29.7
"51",50,66
"52",51,50.02
"53",52,46.68
"54",53,43.06
"55",54,41.44
"56",55,40.18
"57",56,42.56
"58",57,41.56
"59",58,44
"60",59,48.66
"61",60,52.32
"62",61,54.42
"63",62,65.36
"64",63,61.14
"65",64,61.32
"66",65,75.28
"67",66,67.16
"68",67,72.2
"69",68,81.36
"70",69,85.74
"71",70,75.66
"72",71,90.94
"73",72,79.56
"74",73,88.42
"75",74,95.78
"76",75,98.62
"77",76,90.92
"78",77,92.42
"79",78,153.14
"80",79,133.86
"81",80,149.42
"82",81,134.92
"83",82,155.88
"84",83,167.38
"85",84,161.54
"86",85,181.62
