"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0.24
"17",16,0
"18",17,0
"19",18,0
"20",19,0
"21",20,0
"22",21,0
"23",22,0
"24",23,0
"25",24,0
"26",25,0.18
"27",26,0.36
"28",27,0.68
"29",28,0.34
"30",29,0.16
"31",30,0.34
"32",31,1.52
"33",32,0.16
"34",33,0.84
"35",34,1
"36",35,1.52
"37",36,1.76
"38",37,2.3
"39",38,2.16
"40",39,2.38
"41",40,3.16
"42",41,2.98
"43",42,3.34
"44",43,3.18
"45",44,2.96
"46",45,4.86
"47",46,6.14
"48",47,6.6
"49",48,7
"50",49,10.04
"51",50,9.26
"52",51,8.7
"53",52,8.94
"54",53,10.28
"55",54,12.6
"56",55,11.54
"57",56,12.82
"58",57,15.24
"59",58,12.28
"60",59,15.52
"61",60,18.52
"62",61,18.6
"63",62,16.24
"64",63,18.46
"65",64,23.08
"66",65,19
"67",66,27.1
"68",67,18.92
"69",68,32.34
"70",69,33.28
"71",70,41.88
"72",71,36.42
"73",72,42.26
"74",73,44.44
"75",74,56.9
"76",75,44.72
"77",76,57.02
"78",77,58.34
"79",78,69.66
"80",79,89.44
"81",80,105.14
"82",81,97.02
"83",82,121.96
"84",83,140.16
"85",84,150.4
"86",85,276.38
