"","Age","Rate"
"1",0,329.88
"2",1,15.96
"3",2,15.96
"4",3,14.412
"5",4,12.864
"6",5,11.316
"7",6,9.768
"8",7,8.22
"9",8,8.576
"10",9,8.932
"11",10,9.288
"12",11,9.644
"13",12,10
"14",13,12.088
"15",14,14.176
"16",15,16.264
"17",16,18.352
"18",17,20.44
"19",18,22.72
"20",19,25
"21",20,27.28
"22",21,29.56
"23",22,31.84
"24",23,32.6
"25",24,33.36
"26",25,34.12
"27",26,34.88
"28",27,35.64
"29",28,38.136
"30",29,40.632
"31",30,43.128
"32",31,45.624
"33",32,48.12
"34",33,50.484
"35",34,52.848
"36",35,55.212
"37",36,57.576
"38",37,59.94
"39",38,64.444
"40",39,68.948
"41",40,73.452
"42",41,77.956
"43",42,82.46
"44",43,91.66
"45",44,100.86
"46",45,110.06
"47",46,119.26
"48",47,128.46
"49",48,142.516
"50",49,156.572
"51",50,170.628
"52",51,184.684
"53",52,198.74
"54",53,216.248
"55",54,233.756
"56",55,251.264
"57",56,268.772
"58",57,286.28
"59",58,313.908
"60",59,341.536
"61",60,369.164
"62",61,396.792
"63",62,424.42
"64",63,465.368
"65",64,506.316
"66",65,547.264
"67",66,588.212
"68",67,629.16
"69",68,704.464
"70",69,779.768
"71",70,855.072
"72",71,930.376
"73",72,1005.68
"74",73,1149.408
"75",74,1293.136
"76",75,1436.864
"77",76,1580.592
"78",77,1724.32
"79",78,2012.1
"80",79,2299.88
"81",80,2587.66
"82",81,2875.44
"83",82,3163.22
"84",83,4128.688
"85",84,5094.156
"86",85,6059.624
