"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0.16
"17",16,0
"18",17,0
"19",18,0.3
"20",19,0.16
"21",20,0.16
"22",21,1
"23",22,0.96
"24",23,0.98
"25",24,1.46
"26",25,0.78
"27",26,1.56
"28",27,2.62
"29",28,2.66
"30",29,3.44
"31",30,3.4
"32",31,3.7
"33",32,4.76
"34",33,6.16
"35",34,7.72
"36",35,8.34
"37",36,9.14
"38",37,10.64
"39",38,10.66
"40",39,10.44
"41",40,14.28
"42",41,17.22
"43",42,17.64
"44",43,19.88
"45",44,23.16
"46",45,27.86
"47",46,33.7
"48",47,30.82
"49",48,37.08
"50",49,37.38
"51",50,74.9
"52",51,67.54
"53",52,60.24
"54",53,58.98
"55",54,67.1
"56",55,64.7
"57",56,67.04
"58",57,68.66
"59",58,71.12
"60",59,77.32
"61",60,81.44
"62",61,86.86
"63",62,93.06
"64",63,100.7
"65",64,91.8
"66",65,121.12
"67",66,118.42
"68",67,117.82
"69",68,116
"70",69,134.96
"71",70,121.42
"72",71,124.96
"73",72,143.2
"74",73,150.62
"75",74,156.48
"76",75,144.02
"77",76,142.6
"78",77,179.6
"79",78,177.4
"80",79,157.88
"81",80,197.76
"82",81,199.38
"83",82,204.16
"84",83,220.7
"85",84,178.8
"86",85,201.3
