"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0.14
"17",16,0
"18",17,0.14
"19",18,0
"20",19,0
"21",20,0
"22",21,0.14
"23",22,0.28
"24",23,0.7
"25",24,0.54
"26",25,0.26
"27",26,0.12
"28",27,0.28
"29",28,0.82
"30",29,0.94
"31",30,1.42
"32",31,1.62
"33",32,0.92
"34",33,2.12
"35",34,2.14
"36",35,2.86
"37",36,2.92
"38",37,3.72
"39",38,2.68
"40",39,3.5
"41",40,5.58
"42",41,4.04
"43",42,5.44
"44",43,7.32
"45",44,7.68
"46",45,7.08
"47",46,9.52
"48",47,7.82
"49",48,10.94
"50",49,15.38
"51",50,14.72
"52",51,16.1
"53",52,17.46
"54",53,19.12
"55",54,22.06
"56",55,27.64
"57",56,25
"58",57,30.26
"59",58,32.68
"60",59,35.42
"61",60,38.14
"62",61,44.42
"63",62,42.64
"64",63,45.98
"65",64,52.7
"66",65,54.7
"67",66,63.72
"68",67,67.02
"69",68,69.42
"70",69,79.88
"71",70,77.98
"72",71,75.76
"73",72,88.52
"74",73,114.32
"75",74,97.78
"76",75,130.2
"77",76,129.5
"78",77,136.48
"79",78,157.06
"80",79,175.16
"81",80,186
"82",81,206.78
"83",82,249.1
"84",83,273.22
"85",84,253.1
"86",85,387.32
