"","Age","Rate"
"1",0,934
"2",1,33.08
"3",2,33.08
"4",3,29.708
"5",4,26.336
"6",5,22.964
"7",6,19.592
"8",7,16.22
"9",8,16.236
"10",9,16.252
"11",10,16.268
"12",11,16.284
"13",12,16.3
"14",13,19.908
"15",14,23.516
"16",15,27.124
"17",16,30.732
"18",17,34.34
"19",18,40.092
"20",19,45.844
"21",20,51.596
"22",21,57.348
"23",22,63.1
"24",23,67.376
"25",24,71.652
"26",25,75.928
"27",26,80.204
"28",27,84.48
"29",28,91.312
"30",29,98.144
"31",30,104.976
"32",31,111.808
"33",32,118.64
"34",33,128.276
"35",34,137.912
"36",35,147.548
"37",36,157.184
"38",37,166.82
"39",38,180.604
"40",39,194.388
"41",40,208.172
"42",41,221.956
"43",42,235.74
"44",43,257.832
"45",44,279.924
"46",45,302.016
"47",46,324.108
"48",47,346.2
"49",48,384.2
"50",49,422.2
"51",50,460.2
"52",51,498.2
"53",52,536.2
"54",53,590.904
"55",54,645.608
"56",55,700.312
"57",56,755.016
"58",57,809.72
"59",58,880.568
"60",59,951.416
"61",60,1022.264
"62",61,1093.112
"63",62,1163.96
"64",63,1249.9
"65",64,1335.84
"66",65,1421.78
"67",66,1507.72
"68",67,1593.66
"69",68,1729.38
"70",69,1865.1
"71",70,2000.82
"72",71,2136.54
"73",72,2272.26
"74",73,2503.708
"75",74,2735.156
"76",75,2966.604
"77",76,3198.052
"78",77,3429.5
"79",78,3813.492
"80",79,4197.484
"81",80,4581.476
"82",81,4965.468
"83",82,5349.46
"84",83,6587.764
"85",84,7826.068
"86",85,9064.372
