"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0.02
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0.02
"14",13,0.04
"15",14,0.08
"16",15,0.1
"17",16,0.08
"18",17,0.1
"19",18,0.24
"20",19,0.24
"21",20,0.48
"22",21,0.54
"23",22,0.94
"24",23,0.78
"25",24,1.1
"26",25,1.34
"27",26,1.4
"28",27,1.96
"29",28,2.42
"30",29,2.66
"31",30,3.24
"32",31,3.54
"33",32,4.68
"34",33,5.82
"35",34,6.18
"36",35,6.94
"37",36,7.74
"38",37,9.52
"39",38,10.54
"40",39,11.34
"41",40,13.88
"42",41,14.74
"43",42,16.46
"44",43,19.38
"45",44,21.04
"46",45,24.62
"47",46,26.56
"48",47,28.56
"49",48,30.44
"50",49,34.38
"51",50,62.32
"52",51,54.3
"53",52,50.8
"54",53,47.68
"55",54,48.42
"56",55,49.12
"57",56,51.16
"58",57,54.64
"59",58,55.32
"60",59,56.8
"61",60,63.08
"62",61,66.66
"63",62,68.06
"64",63,70.88
"65",64,74.9
"66",65,90.12
"67",66,88.78
"68",67,91.02
"69",68,93.44
"70",69,102.72
"71",70,102.92
"72",71,108.36
"73",72,113.56
"74",73,120.02
"75",74,129.98
"76",75,133.9
"77",76,139.34
"78",77,149
"79",78,161.44
"80",79,167.74
"81",80,169.96
"82",81,185.54
"83",82,203.56
"84",83,203.3
"85",84,208.28
"86",85,220.18
