"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0.02
"16",15,0.06
"17",16,0.04
"18",17,0.04
"19",18,0.02
"20",19,0.04
"21",20,0.08
"22",21,0.1
"23",22,0.08
"24",23,0.26
"25",24,0.24
"26",25,0.2
"27",26,0.4
"28",27,0.4
"29",28,0.5
"30",29,0.68
"31",30,1.06
"32",31,0.98
"33",32,1.08
"34",33,1.3
"35",34,1.58
"36",35,1.66
"37",36,2.02
"38",37,2.36
"39",38,2.42
"40",39,2.82
"41",40,3.9
"42",41,3.6
"43",42,4.1
"44",43,4.78
"45",44,5.22
"46",45,6.14
"47",46,7.12
"48",47,7.8
"49",48,8.46
"50",49,11.24
"51",50,10.8
"52",51,11.62
"53",52,11.74
"54",53,14.38
"55",54,14.92
"56",55,16.68
"57",56,17.32
"58",57,19.22
"59",58,21.5
"60",59,23.26
"61",60,23.34
"62",61,25.66
"63",62,27.32
"64",63,28.36
"65",64,33.28
"66",65,35.18
"67",66,37.8
"68",67,42.62
"69",68,45.36
"70",69,49.92
"71",70,53.02
"72",71,58.4
"73",72,60.62
"74",73,72.72
"75",74,78.44
"76",75,88.58
"77",76,93.76
"78",77,105.54
"79",78,117.38
"80",79,135.08
"81",80,151.28
"82",81,162.84
"83",82,192.28
"84",83,214.52
"85",84,232.94
"86",85,435.8
