"","Age","Rate"
"1",0,518.56
"2",1,21.44
"3",2,21.44
"4",3,19.272
"5",4,17.104
"6",5,14.936
"7",6,12.768
"8",7,10.6
"9",8,10.972
"10",9,11.344
"11",10,11.716
"12",11,12.088
"13",12,12.46
"14",13,15.796
"15",14,19.132
"16",15,22.468
"17",16,25.804
"18",17,29.14
"19",18,33.096
"20",19,37.052
"21",20,41.008
"22",21,44.964
"23",22,48.92
"24",23,52.332
"25",24,55.744
"26",25,59.156
"27",26,62.568
"28",27,65.98
"29",28,70.916
"30",29,75.852
"31",30,80.788
"32",31,85.724
"33",32,90.66
"34",33,96.368
"35",34,102.076
"36",35,107.784
"37",36,113.492
"38",37,119.2
"39",38,127.704
"40",39,136.208
"41",40,144.712
"42",41,153.216
"43",42,161.72
"44",43,177.564
"45",44,193.408
"46",45,209.252
"47",46,225.096
"48",47,240.94
"49",48,267.512
"50",49,294.084
"51",50,320.656
"52",51,347.228
"53",52,373.8
"54",53,410.656
"55",54,447.512
"56",55,484.368
"57",56,521.224
"58",57,558.08
"59",58,605.108
"60",59,652.136
"61",60,699.164
"62",61,746.192
"63",62,793.22
"64",63,863.432
"65",64,933.644
"66",65,1003.856
"67",66,1074.068
"68",67,1144.28
"69",68,1277.596
"70",69,1410.912
"71",70,1544.228
"72",71,1677.544
"73",72,1810.86
"74",73,2039.976
"75",74,2269.092
"76",75,2498.208
"77",76,2727.324
"78",77,2956.44
"79",78,3382.62
"80",79,3808.8
"81",80,4234.98
"82",81,4661.16
"83",82,5087.34
"84",83,6650.744
"85",84,8214.148
"86",85,9777.552
