"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0.04
"16",15,0.04
"17",16,0.08
"18",17,0.04
"19",18,0.04
"20",19,0.08
"21",20,0.14
"22",21,0.14
"23",22,0.06
"24",23,0.22
"25",24,0.22
"26",25,0.2
"27",26,0.48
"28",27,0.34
"29",28,0.46
"30",29,0.68
"31",30,1.08
"32",31,0.78
"33",32,1.28
"34",33,1.18
"35",34,1.56
"36",35,1.44
"37",36,1.9
"38",37,2.1
"39",38,2.44
"40",39,2.74
"41",40,3.64
"42",41,3.6
"43",42,4
"44",43,4.66
"45",44,5.26
"46",45,6.2
"47",46,6.9
"48",47,7.98
"49",48,8.18
"50",49,10.74
"51",50,10.44
"52",51,11.28
"53",52,10.92
"54",53,14.1
"55",54,13.94
"56",55,15.6
"57",56,16.48
"58",57,17.7
"59",58,21
"60",59,22.28
"61",60,21.56
"62",61,23.46
"63",62,26.42
"64",63,26.84
"65",64,31.5
"66",65,34.12
"67",66,35.1
"68",67,42.12
"69",68,43.44
"70",69,47.78
"71",70,50.98
"72",71,58.54
"73",72,58.86
"74",73,70.14
"75",74,78.3
"76",75,88.06
"77",76,93.12
"78",77,106.24
"79",78,117.68
"80",79,134.5
"81",80,151.92
"82",81,164.7
"83",82,193.02
"84",83,215.6
"85",84,239.84
"86",85,457.62
