"","Age","Rate"
"1",0,441.86
"2",1,19.36
"3",2,19.36
"4",3,17.404
"5",4,15.448
"6",5,13.492
"7",6,11.536
"8",7,9.58
"9",8,10.04
"10",9,10.5
"11",10,10.96
"12",11,11.42
"13",12,11.88
"14",13,15.292
"15",14,18.704
"16",15,22.116
"17",16,25.528
"18",17,28.94
"19",18,32.696
"20",19,36.452
"21",20,40.208
"22",21,43.964
"23",22,47.72
"24",23,51.324
"25",24,54.928
"26",25,58.532
"27",26,62.136
"28",27,65.74
"29",28,70.74
"30",29,75.74
"31",30,80.74
"32",31,85.74
"33",32,90.74
"34",33,96.108
"35",34,101.476
"36",35,106.844
"37",36,112.212
"38",37,117.58
"39",38,125.6
"40",39,133.62
"41",40,141.64
"42",41,149.66
"43",42,157.68
"44",43,173.028
"45",44,188.376
"46",45,203.724
"47",46,219.072
"48",47,234.42
"49",48,259.956
"50",49,285.492
"51",50,311.028
"52",51,336.564
"53",52,362.1
"54",53,397.648
"55",54,433.196
"56",55,468.744
"57",56,504.292
"58",57,539.84
"59",58,585.156
"60",59,630.472
"61",60,675.788
"62",61,721.104
"63",62,766.42
"64",63,837.428
"65",64,908.436
"66",65,979.444
"67",66,1050.452
"68",67,1121.46
"69",68,1259.056
"70",69,1396.652
"71",70,1534.248
"72",71,1671.844
"73",72,1809.44
"74",73,2043.608
"75",74,2277.776
"76",75,2511.944
"77",76,2746.112
"78",77,2980.28
"79",78,3419.1
"80",79,3857.92
"81",80,4296.74
"82",81,4735.56
"83",82,5174.38
"84",83,6799.292
"85",84,8424.204
"86",85,10049.116
