"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0.24
"17",16,0
"18",17,0
"19",18,0.24
"20",19,0.48
"21",20,0
"22",21,0.48
"23",22,0.66
"24",23,1.04
"25",24,0.78
"26",25,1.68
"27",26,1.98
"28",27,1.92
"29",28,2.54
"30",29,1.92
"31",30,3.06
"32",31,3.6
"33",32,5.26
"34",33,5.6
"35",34,3.78
"36",35,8.02
"37",36,5.32
"38",37,10.12
"39",38,8.04
"40",39,12.12
"41",40,11.68
"42",41,14.44
"43",42,16.56
"44",43,20.92
"45",44,24.06
"46",45,22.22
"47",46,26.8
"48",47,33.68
"49",48,35.96
"50",49,40.42
"51",50,79.76
"52",51,63.1
"53",52,58.28
"54",53,66.56
"55",54,60.28
"56",55,69.12
"57",56,72.28
"58",57,75.98
"59",58,76.7
"60",59,93.34
"61",60,86.16
"62",61,105.06
"63",62,102.92
"64",63,102.74
"65",64,107.46
"66",65,117.8
"67",66,109.78
"68",67,137.96
"69",68,113.78
"70",69,118.36
"71",70,124.2
"72",71,126.92
"73",72,137.04
"74",73,144.58
"75",74,154.58
"76",75,148.1
"77",76,145.14
"78",77,149.44
"79",78,163.2
"80",79,174.82
"81",80,163.28
"82",81,184.44
"83",82,176.06
"84",83,213.92
"85",84,191.92
"86",85,198.84
