"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0
"17",16,0
"18",17,0
"19",18,0
"20",19,0.24
"21",20,0
"22",21,0
"23",22,0
"24",23,0.2
"25",24,0.18
"26",25,0.2
"27",26,0.36
"28",27,0.5
"29",28,0.56
"30",29,1.58
"31",30,0.34
"32",31,1.12
"33",32,0.72
"34",33,0.72
"35",34,0.9
"36",35,1.3
"37",36,1.16
"38",37,2.76
"39",38,1.58
"40",39,2.64
"41",40,3.56
"42",41,3.14
"43",42,2.72
"44",43,6.46
"45",44,6.12
"46",45,6.14
"47",46,5.78
"48",47,5.22
"49",48,8.84
"50",49,11.92
"51",50,16.18
"52",51,13.4
"53",52,13.04
"54",53,17.1
"55",54,15.52
"56",55,13.46
"57",56,18.78
"58",57,26.06
"59",58,23.68
"60",59,28.56
"61",60,25.06
"62",61,32.76
"63",62,34.7
"64",63,43.2
"65",64,40.36
"66",65,42.74
"67",66,49.9
"68",67,50.74
"69",68,50.78
"70",69,56.44
"71",70,59.4
"72",71,70.52
"73",72,73.66
"74",73,75.02
"75",74,103.7
"76",75,116.88
"77",76,106.74
"78",77,125.82
"79",78,123.66
"80",79,142.06
"81",80,175.46
"82",81,163.32
"83",82,174.92
"84",83,216.24
"85",84,220.06
"86",85,373.46
