"","Age","Rate"
"1",0,398.4
"2",1,18.24
"3",2,18.24
"4",3,16.58
"5",4,14.92
"6",5,13.26
"7",6,11.6
"8",7,9.94
"9",8,10.372
"10",9,10.804
"11",10,11.236
"12",11,11.668
"13",12,12.1
"14",13,19.096
"15",14,26.092
"16",15,33.088
"17",16,40.084
"18",17,47.08
"19",18,52.776
"20",19,58.472
"21",20,64.168
"22",21,69.864
"23",22,75.56
"24",23,76.828
"25",24,78.096
"26",25,79.364
"27",26,80.632
"28",27,81.9
"29",28,84.18
"30",29,86.46
"31",30,88.74
"32",31,91.02
"33",32,93.3
"34",33,97.052
"35",34,100.804
"36",35,104.556
"37",36,108.308
"38",37,112.06
"39",38,118.252
"40",39,124.444
"41",40,130.636
"42",41,136.828
"43",42,143.02
"44",43,157.7
"45",44,172.38
"46",45,187.06
"47",46,201.74
"48",47,216.42
"49",48,239.824
"50",49,263.228
"51",50,286.632
"52",51,310.036
"53",52,333.44
"54",53,367.7
"55",54,401.96
"56",55,436.22
"57",56,470.48
"58",57,504.74
"59",58,551.256
"60",59,597.772
"61",60,644.288
"62",61,690.804
"63",62,737.32
"64",63,799.944
"65",64,862.568
"66",65,925.192
"67",66,987.816
"68",67,1050.44
"69",68,1150.86
"70",69,1251.28
"71",70,1351.7
"72",71,1452.12
"73",72,1552.54
"74",73,1748.292
"75",74,1944.044
"76",75,2139.796
"77",76,2335.548
"78",77,2531.3
"79",78,2870.86
"80",79,3210.42
"81",80,3549.98
"82",81,3889.54
"83",82,4229.1
"84",83,5171.304
"85",84,6113.508
"86",85,7055.712
