"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0.16
"14",13,0.3
"15",14,0.14
"16",15,0.14
"17",16,0.14
"18",17,0.14
"19",18,0.14
"20",19,0.28
"21",20,0.42
"22",21,0.14
"23",22,0.66
"24",23,0.92
"25",24,1.16
"26",25,0.72
"27",26,1
"28",27,1.84
"29",28,3
"30",29,2.44
"31",30,4.58
"32",31,3.84
"33",32,5.2
"34",33,4.3
"35",34,5.98
"36",35,8.18
"37",36,9.94
"38",37,8.08
"39",38,15.46
"40",39,14.9
"41",40,15.42
"42",41,18.46
"43",42,21.5
"44",43,26.7
"45",44,23.82
"46",45,30.9
"47",46,37.74
"48",47,34.84
"49",48,43.4
"50",49,46.44
"51",50,84.24
"52",51,80.94
"53",52,75.6
"54",53,74.94
"55",54,82.7
"56",55,92.24
"57",56,91.54
"58",57,103.5
"59",58,102.64
"60",59,113.76
"61",60,125.54
"62",61,132.16
"63",62,138
"64",63,148.9
"65",64,156.28
"66",65,176.4
"67",66,180.14
"68",67,180.64
"69",68,184.34
"70",69,189.4
"71",70,193.04
"72",71,214.6
"73",72,216.9
"74",73,190.38
"75",74,202.86
"76",75,238.12
"77",76,242.56
"78",77,222.48
"79",78,243.02
"80",79,289.74
"81",80,280.34
"82",81,264.72
"83",82,274.42
"84",83,284.7
"85",84,289
"86",85,250.58
