"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0.16
"16",15,0.14
"17",16,0.16
"18",17,0.14
"19",18,0
"20",19,0
"21",20,0.42
"22",21,0.14
"23",22,0
"24",23,0.26
"25",24,0.64
"26",25,0.24
"27",26,0.6
"28",27,0.3
"29",28,0.42
"30",29,0.74
"31",30,1
"32",31,1.8
"33",32,1.88
"34",33,2.36
"35",34,1.42
"36",35,2.26
"37",36,2.82
"38",37,2.72
"39",38,3.78
"40",39,5.2
"41",40,4.98
"42",41,6.56
"43",42,5.66
"44",43,6.68
"45",44,12.34
"46",45,10.3
"47",46,9.44
"48",47,15.98
"49",48,16.22
"50",49,16.3
"51",50,18.84
"52",51,27.32
"53",52,27.06
"54",53,32.5
"55",54,35.44
"56",55,36.1
"57",56,40.1
"58",57,46.66
"59",58,45.64
"60",59,56.92
"61",60,58.94
"62",61,77.5
"63",62,76.56
"64",63,85.84
"65",64,90.64
"66",65,105.02
"67",66,103.6
"68",67,106.66
"69",68,135.24
"70",69,143.42
"71",70,141.74
"72",71,157.84
"73",72,170.16
"74",73,180.26
"75",74,193.54
"76",75,195.52
"77",76,234.24
"78",77,265.58
"79",78,252.68
"80",79,282.68
"81",80,319.18
"82",81,326
"83",82,357.84
"84",83,420.94
"85",84,372.32
"86",85,558.3
