"","Age","Rate"
"1",0,1120.98
"2",1,41.9
"3",2,41.9
"4",3,37.444
"5",4,32.988
"6",5,28.532
"7",6,24.076
"8",7,19.62
"9",8,20.544
"10",9,21.468
"11",10,22.392
"12",11,23.316
"13",12,24.24
"14",13,41.952
"15",14,59.664
"16",15,77.376
"17",16,95.088
"18",17,112.8
"19",18,130.552
"20",19,148.304
"21",20,166.056
"22",21,183.808
"23",22,201.56
"24",23,207.236
"25",24,212.912
"26",25,218.588
"27",26,224.264
"28",27,229.94
"29",28,236.796
"30",29,243.652
"31",30,250.508
"32",31,257.364
"33",32,264.22
"34",33,274.972
"35",34,285.724
"36",35,296.476
"37",36,307.228
"38",37,317.98
"39",38,334.216
"40",39,350.452
"41",40,366.688
"42",41,382.924
"43",42,399.16
"44",43,429.272
"45",44,459.384
"46",45,489.496
"47",46,519.608
"48",47,549.72
"49",48,607.696
"50",49,665.672
"51",50,723.648
"52",51,781.624
"53",52,839.6
"54",53,935.04
"55",54,1030.48
"56",55,1125.92
"57",56,1221.36
"58",57,1316.8
"59",58,1451.952
"60",59,1587.104
"61",60,1722.256
"62",61,1857.408
"63",62,1992.56
"64",63,2140.684
"65",64,2288.808
"66",65,2436.932
"67",66,2585.056
"68",67,2733.18
"69",68,2917.784
"70",69,3102.388
"71",70,3286.992
"72",71,3471.596
"73",72,3656.2
"74",73,3961.78
"75",74,4267.36
"76",75,4572.94
"77",76,4878.52
"78",77,5184.1
"79",78,5650.988
"80",79,6117.876
"81",80,6584.764
"82",81,7051.652
"83",82,7518.54
"84",83,8621.5
"85",84,9724.46
"86",85,10827.42
