"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0.02
"6",5,0
"7",6,0.02
"8",7,0.02
"9",8,0
"10",9,0
"11",10,0.02
"12",11,0.02
"13",12,0.02
"14",13,0.06
"15",14,0.1
"16",15,0.08
"17",16,0.16
"18",17,0.22
"19",18,0.26
"20",19,0.3
"21",20,0.44
"22",21,0.66
"23",22,0.62
"24",23,0.94
"25",24,1.3
"26",25,1.56
"27",26,1.56
"28",27,2.18
"29",28,2.58
"30",29,2.76
"31",30,3.9
"32",31,4.4
"33",32,5.76
"34",33,5.86
"35",34,6.08
"36",35,8.44
"37",36,9.36
"38",37,10.28
"39",38,11.54
"40",39,14.06
"41",40,16.68
"42",41,16.74
"43",42,20.02
"44",43,21.98
"45",44,25.58
"46",45,29.68
"47",46,32.32
"48",47,36.7
"49",48,40.1
"50",49,44.96
"51",50,79.72
"52",51,70.88
"53",52,65.34
"54",53,65.44
"55",54,68.8
"56",55,72.32
"57",56,74.96
"58",57,82.16
"59",58,84.34
"60",59,91.88
"61",60,95.38
"62",61,104.3
"63",62,105.44
"64",63,113.42
"65",64,116.82
"66",65,134.84
"67",66,135.28
"68",67,139.06
"69",68,140.46
"70",69,147.7
"71",70,149.96
"72",71,155.5
"73",72,167.72
"74",73,176.26
"75",74,180.06
"76",75,187.66
"77",76,189.38
"78",77,203.44
"79",78,207.28
"80",79,225.4
"81",80,216.92
"82",81,239.2
"83",82,241.96
"84",83,268.84
"85",84,266.64
"86",85,261.34
