"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0.02
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0.02
"16",15,0.08
"17",16,0.04
"18",17,0.08
"19",18,0.08
"20",19,0.06
"21",20,0.12
"22",21,0.16
"23",22,0.04
"24",23,0.18
"25",24,0.22
"26",25,0.36
"27",26,0.5
"28",27,0.58
"29",28,0.7
"30",29,0.74
"31",30,1.08
"32",31,1.2
"33",32,1.18
"34",33,1.6
"35",34,1.68
"36",35,1.86
"37",36,2.38
"38",37,2.48
"39",38,3.14
"40",39,3.78
"41",40,4.32
"42",41,4.88
"43",42,4.66
"44",43,5.88
"45",44,7.02
"46",45,8.12
"47",46,8.84
"48",47,9.92
"49",48,12.44
"50",49,14.42
"51",50,15.72
"52",51,19.24
"53",52,18.98
"54",53,21.18
"55",54,24.58
"56",55,26.24
"57",56,27.22
"58",57,30.8
"59",58,32.6
"60",59,37.26
"61",60,40.72
"62",61,46.26
"63",62,50.46
"64",63,53.74
"65",64,57.94
"66",65,64.24
"67",66,69.78
"68",67,73.76
"69",68,77.12
"70",69,85.02
"71",70,96.54
"72",71,102.4
"73",72,110.58
"74",73,123.94
"75",74,134.08
"76",75,149.04
"77",76,165.88
"78",77,178.44
"79",78,200.84
"80",79,221.4
"81",80,243.72
"82",81,271.54
"83",82,288.94
"84",83,346.06
"85",84,362.58
"86",85,590.8
