"","Age","Rate"
"1",0,625.22
"2",1,27.14
"3",2,27.14
"4",3,24.268
"5",4,21.396
"6",5,18.524
"7",6,15.652
"8",7,12.78
"9",8,13.7
"10",9,14.62
"11",10,15.54
"12",11,16.46
"13",12,17.38
"14",13,27.82
"15",14,38.26
"16",15,48.7
"17",16,59.14
"18",17,69.58
"19",18,82.52
"20",19,95.46
"21",20,108.4
"22",21,121.34
"23",22,134.28
"24",23,139.992
"25",24,145.704
"26",25,151.416
"27",26,157.128
"28",27,162.84
"29",28,167.816
"30",29,172.792
"31",30,177.768
"32",31,182.744
"33",32,187.72
"34",33,194.388
"35",34,201.056
"36",35,207.724
"37",36,214.392
"38",37,221.06
"39",38,231.212
"40",39,241.364
"41",40,251.516
"42",41,261.668
"43",42,271.82
"44",43,294.664
"45",44,317.508
"46",45,340.352
"47",46,363.196
"48",47,386.04
"49",48,429.328
"50",49,472.616
"51",50,515.904
"52",51,559.192
"53",52,602.48
"54",53,666.044
"55",54,729.608
"56",55,793.172
"57",56,856.736
"58",57,920.3
"59",58,1002.444
"60",59,1084.588
"61",60,1166.732
"62",61,1248.876
"63",62,1331.02
"64",63,1431.556
"65",64,1532.092
"66",65,1632.628
"67",66,1733.164
"68",67,1833.7
"69",68,2002.816
"70",69,2171.932
"71",70,2341.048
"72",71,2510.164
"73",72,2679.28
"74",73,2980.672
"75",74,3282.064
"76",75,3583.456
"77",76,3884.848
"78",77,4186.24
"79",78,4720.016
"80",79,5253.792
"81",80,5787.568
"82",81,6321.344
"83",82,6855.12
"84",83,8389.78
"85",84,9924.44
"86",85,11459.1
