"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0.04
"6",5,0
"7",6,0.04
"8",7,0.02
"9",8,0
"10",9,0
"11",10,0.04
"12",11,0.02
"13",12,0
"14",13,0.02
"15",14,0.12
"16",15,0.06
"17",16,0.16
"18",17,0.26
"19",18,0.3
"20",19,0.24
"21",20,0.48
"22",21,0.8
"23",22,0.62
"24",23,0.94
"25",24,1.36
"26",25,1.68
"27",26,1.6
"28",27,2.28
"29",28,2.5
"30",29,2.76
"31",30,3.82
"32",31,4.44
"33",32,5.82
"34",33,6.12
"35",34,6.32
"36",35,8.52
"37",36,9.8
"38",37,10.56
"39",38,11.24
"40",39,13.94
"41",40,17.52
"42",41,16.38
"43",42,20.16
"44",43,21.36
"45",44,25.7
"46",45,29.86
"47",46,32.16
"48",47,36.8
"49",48,39.3
"50",49,44.76
"51",50,77.1
"52",51,68.48
"53",52,63.36
"54",53,62.72
"55",54,66.88
"56",55,68.6
"57",56,71.98
"58",57,78.66
"59",58,81.32
"60",59,87.6
"61",60,90.84
"62",61,99.18
"63",62,100.14
"64",63,108.6
"65",64,111.32
"66",65,130.94
"67",66,131.14
"68",67,132.6
"69",68,137.06
"70",69,144.8
"71",70,146.28
"72",71,150.76
"73",72,163.9
"74",73,176.92
"75",74,179.18
"76",75,185.56
"77",76,187.56
"78",77,205.74
"79",78,207.08
"80",79,224.28
"81",80,216.22
"82",81,242.52
"83",82,244.14
"84",83,271.6
"85",84,271.12
"86",85,268.54
