"","Age","Rate"
"1",0,0
"2",1,0
"3",2,0
"4",3,0
"5",4,0
"6",5,0
"7",6,0
"8",7,0
"9",8,0.04
"10",9,0
"11",10,0
"12",11,0
"13",12,0
"14",13,0
"15",14,0
"16",15,0.06
"17",16,0.02
"18",17,0.08
"19",18,0.1
"20",19,0.06
"21",20,0.06
"22",21,0.2
"23",22,0.04
"24",23,0.14
"25",24,0.12
"26",25,0.38
"27",26,0.48
"28",27,0.62
"29",28,0.82
"30",29,0.64
"31",30,1.22
"32",31,1.1
"33",32,1.12
"34",33,1.58
"35",34,1.88
"36",35,1.88
"37",36,2.54
"38",37,2.32
"39",38,3.24
"40",39,3.7
"41",40,4.38
"42",41,4.84
"43",42,4.88
"44",43,5.74
"45",44,6.4
"46",45,8.08
"47",46,9.22
"48",47,9.58
"49",48,12.42
"50",49,14.5
"51",50,15.1
"52",51,18.78
"53",52,18.42
"54",53,20.14
"55",54,23.98
"56",55,26.18
"57",56,26.3
"58",57,28.94
"59",58,31.66
"60",59,35.5
"61",60,39.88
"62",61,43.28
"63",62,48.46
"64",63,50.84
"65",64,55.64
"66",65,61.18
"67",66,68.08
"68",67,72.1
"69",68,73.22
"70",69,81.32
"71",70,95.2
"72",71,99.8
"73",72,108.38
"74",73,122.56
"75",74,130.82
"76",75,147.82
"77",76,165.4
"78",77,175.36
"79",78,203.6
"80",79,224.62
"81",80,244.52
"82",81,278.08
"83",82,295.02
"84",83,351.9
"85",84,376.62
"86",85,618.14
