"","Age","Rate"
"1",0,535.58
"2",1,24.78
"3",2,24.78
"4",3,22.132
"5",4,19.484
"6",5,16.836
"7",6,14.188
"8",7,11.54
"9",8,12.52
"10",9,13.5
"11",10,14.48
"12",11,15.46
"13",12,16.44
"14",13,25.668
"15",14,34.896
"16",15,44.124
"17",16,53.352
"18",17,62.58
"19",18,75.276
"20",19,87.972
"21",20,100.668
"22",21,113.364
"23",22,126.06
"24",23,132.548
"25",24,139.036
"26",25,145.524
"27",26,152.012
"28",27,158.5
"29",28,163.856
"30",29,169.212
"31",30,174.568
"32",31,179.924
"33",32,185.28
"34",33,191.612
"35",34,197.944
"36",35,204.276
"37",36,210.608
"38",37,216.94
"39",38,226.58
"40",39,236.22
"41",40,245.86
"42",41,255.5
"43",42,265.14
"44",43,287.488
"45",44,309.836
"46",45,332.184
"47",46,354.532
"48",47,376.88
"49",48,419.272
"50",49,461.664
"51",50,504.056
"52",51,546.448
"53",52,588.84
"54",53,649.868
"55",54,710.896
"56",55,771.924
"57",56,832.952
"58",57,893.98
"59",58,972.22
"60",59,1050.46
"61",60,1128.7
"62",61,1206.94
"63",62,1285.18
"64",63,1384.452
"65",64,1483.724
"66",65,1582.996
"67",66,1682.268
"68",67,1781.54
"69",68,1955.58
"70",69,2129.62
"71",70,2303.66
"72",71,2477.7
"73",72,2651.74
"74",73,2960.42
"75",74,3269.1
"76",75,3577.78
"77",76,3886.46
"78",77,4195.14
"79",78,4746.744
"80",79,5298.348
"81",80,5849.952
"82",81,6401.556
"83",82,6953.16
"84",83,8553.612
"85",84,10154.064
"86",85,11754.516
